uid,movie_title,movie_director,movie_sumary,movie_rating,movie_gender,movie_duration,movie_year,movie_host_uid
62,Der Name der Rose,Jean-Jacques Annaud,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.,7.7,"Crime, Drama, Mystery",2h 10min,1986,imdb
63,Never Say Never Again,Irvin Kershner,"A S.P.E.C.T.R.E. Agent has stolen two American nuclear warheads, and James Bond must find their targets before they are detonated.",6.2,"Action, Adventure, Thriller",2h 14min,1983,imdb
64,No Time to Die,Cary Joji Fukunaga,"James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",NC,"Action, Adventure, Thriller",2h 43min,2021,imdb
65,El Padrino,Francis Ford Coppola,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,9.2,"Crime, Drama",2h 55min,1972,imdb
66,Highlander,Russell Mulcahy,"An immortal Scottish swordsman must confront the last of his immortal opponent, a murderously brutal barbarian who lusts for the fabled Prize.",7.1,"Action, Adventure, Fantasy",1h 56min,1986,imdb
67,It capítulo 2,Andy Muschietti,"Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.",6.5,"Drama, Fantasy, Horror",2h 49min,2019,imdb
68,The SpongeBob Movie: Sponge on the Run,Tim Hill,"After SpongeBobs beloved pet snail Gary is snail-napped, he and Patrick embark on an epic adventure to The Lost City of Atlantic City to bring Gary home.",6.2,"Animation, Adventure, Comedy",1h 31min,2020,imdb
69,The Craft,Andrew Fleming,"A newcomer to a Catholic prep high school falls in with a trio of outcast teenage girls who practice witchcraft, and they all soon conjure up various spells and curses against those who anger them.",6.4,"Drama, Fantasy, Horror",1h 41min,1996,imdb
70,Addams Family Values,Barry Sonnenfeld,"The Addams Family try to rescue their beloved Uncle Fester from his gold-digging new love, a black widow named Debbie.",6.8,"Comedy, Fantasy",1h 34min,1993,imdb
71,From Russia with Love,Terence Young,James Bond willingly falls into an assassination plot involving a naive Russian beauty in order to retrieve a Soviet encryption device that was stolen by S.P.E.C.T.R.E.,7.4,"Action, Adventure, Thriller",1h 55min,1963,imdb
72,Poltergeist,Tobe Hooper,A familys home is haunted by a host of demonic ghosts.,7.3,"Horror, Thriller",1h 54min,1982,imdb
73,1917,Sam Mendes,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",8.3,"Drama, War",1h 59min,2019,imdb
74,Mulan,Niki Caro,A young Chinese maiden disguises herself as a male warrior in order to save her father.,5.4,"Action, Adventure, Drama",1h 55min,2020,imdb
75,Freaky,Christopher Landon,"After swapping bodies with a deranged serial killer, a young girl in high school discovers she has less than 24 hours before the change becomes permanent.",6.7,"Comedy, Horror, Thriller",1h 41min,2020,imdb
