movie_director,movie_duration,movie_gender,movie_rating,movie_sumary,movie_title,movie_year
['Jonathan Demme'],['\n                        1h 58min\n                    '],"['Crime', 'Drama', 'Thriller']",['8.6'],"['\n                    A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.\n            ']",['The Silence of the Lambs\xa0'],['1991']
['Robert Eggers'],['\n                        1h 49min\n                    '],"['Drama', 'Fantasy', 'Horror']",['7.5'],['\n                    Two lighthouse keepers try to maintain their sanity whilst living on a remote and mysterious New England island in the 1890s.\n            '],['The Lighthouse\xa0'],['2019']
['Scott Derrickson'],['\n                        1h 50min\n                    '],"['Horror', 'Mystery', 'Thriller']",['6.8'],['\n                    Washed-up true crime writer Ellison Oswalt finds a box of super 8 home movies in his new home that suggest the murder that he is currently researching is the work of a serial killer whose work dates back to the 1960s.\n            '],['Sinister\xa0'],['2012']
['James Wan'],['\n                        1h 52min\n                    '],"['Horror', 'Mystery', 'Thriller']",['7.5'],['\n                    Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.\n            '],['El conjuro\xa0'],['2013']
['Terence Young'],['\n                        2h 10min\n                    '],"['Action', 'Adventure', 'Thriller']",['7.0'],['\n                    James Bond heads to the Bahamas to recover two nuclear warheads stolen by S.P.E.C.T.R.E. Agent Emilio Largo in an international extortion scheme.\n            '],['Operación Trueno\xa0'],['1965']
['Lisa Cholodenko'],['\n                        1h 46min\n                    '],"['Comedy', 'Drama', 'Romance']",['7.0'],['\n                    Two children conceived by artificial insemination bring their biological father into their non-traditional family life.\n            '],['The Kids Are All Right\xa0'],['2010']
"['Gerard Bush', 'Christopher Renz']",['\n                        1h 45min\n                    '],"['Drama', 'Horror', 'Mystery']",['5.5'],"[""\n                    Successful author Veronica Henley finds herself trapped in a horrifying reality and must uncover the mind-bending mystery before it's too late.\n            ""]",['Antebellum\xa0'],['2020']
['Jordan Peele'],['\n                        1h 44min\n                    '],"['Horror', 'Mystery', 'Thriller']",['7.7'],"[""\n                    A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.\n            ""]",['Huye\xa0'],['2017']
['Denis Villeneuve'],[],"['Adventure', 'Drama', 'Sci-Fi']",[],"[""\n                    Feature adaptation of Frank Herbert's science fiction novel, about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.\n            ""]",['Dune\xa0'],['2021']
['James Gunn'],[],"['Action', 'Adventure', 'Fantasy']",[],['\n                    Plot is unknown.\n            '],['The Suicide Squad\xa0'],['2021']
['Frank Darabont'],['\n                        2h 22min\n                    '],['Drama'],['9.3'],"['\n                    Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.\n            ']",['The Shawshank Redemption\xa0'],['1994']
['Wes Craven'],['\n                        1h 31min\n                    '],['Horror'],['7.5'],['\n                    The monstrous spirit of a slain child murderer seeks revenge by invading the dreams of teenagers whose parents were responsible for his untimely death.\n            '],['A Nightmare on Elm Street\xa0'],['1984']
